title,data sorce,info,details link
한국언론진흥재단_뉴스빅데이터_메타데이터_코로나,한국언론진흥재단,코로나 관련 뉴스 분석 자료입니다. 코로나 관련 뉴스와 키워드를 확인할 수 있습니다.,https://www.data.go.kr/data/15069309/fileData.do
충청북도 음성군_코로나 일일 상황보고,충청북도 음성군,"충청북도 음성군 코로나19 현황에 대하여 매일 보고되는 ""음성군 코로나19 대응상황""을  음성군 홈페이지 링크데이터를 통해 제공합니다.",https://www.data.go.kr/data/15089874/fileData.do
서울특별시 강동구_코로나동별현황,서울특별시 강동구,강동구 행정동별 코로나 확진자 현황 데이터입니다.,https://www.data.go.kr/data/15065107/fileData.do
강원도_코로나19 확진자 현황,강원도,"코로나19(covid-19) 발생시점부터 현재까지 시군별, 일자별 확진자 현황(2020년 2월 22일 ~ 2021년 7월 31일)",https://www.data.go.kr/data/15085319/fileData.do
서울특별시 용산구_코로나19확진자,서울특별시 용산구,"서울특별시 용산구 코로나19 확진자 현황(행정동, 20년도(7월,8월,9월,10월,11월,12월), 21년도(1월,2월,3월,4월,5월,6월,7월) 월별 자료)에 대한 데이터를 제공합니다",https://www.data.go.kr/data/15085950/fileData.do
서울특별시_코로나19 확진자 현황,서울특별시,"서울특별시 코로나19  자치구별 일자별 확진자 현황에 대한 데이터로 연번, 확진일, 지역, 여행력, 접촉력, 등록일 등의 항목을 제공합니다.",https://www.data.go.kr/data/15063273/fileData.do
강원도 평창군_코로나19 확진자 현황,강원도 평창군,"코로나19(covid-19) 확진자 현황에 대한 데이터로,  코로나19 발생시점부터 현재까지 확진자번호,  확진자을 제공합니다. (2020년 7월 4일 ~ 2021년 7월 31일)",https://www.data.go.kr/data/15085652/fileData.do
부산광역시 수영구_월별 코로나 확진자 수,부산광역시 수영구,"코로나 확진자 발생 현황 공유를 위해 부산광역시 수영구에서는 인구수 대비 연도별, 월별 코로나 확진자 수 데이터를 분기별로 제공하고 있습니다.",https://www.data.go.kr/data/15084647/fileData.do
경상북도 고령군_코로나 19 검사현황,경상북도 고령군,경상북도 고령군 코로나 19 일일 검사자수 현황2020년 2월 1일 ~ 현재까지,https://www.data.go.kr/data/15065039/fileData.do
강원도 원주시_코로나 확진자 현황,강원도 원주시,강원도 원주시의 코로나19확진자 제공. 2020년 2월부터 2021년 7월까지 월별 확진자 수를 확인할 수 있습니다.,https://www.data.go.kr/data/15085292/fileData.do
